時刻,路線,列車番号,種別,行先,方向,位置,遅延分,号車:乗車率:状態:温度
00:00,hokurikubiwako,838T,普通,米原,0,彦根駅,1,1:0:1:25:;2:0:1:27:3;3:0:1:25:;4:0:1:25:;5:0:1:28:3;6:0:1:25:;7:0:1:25:;8:0:1:28:3;9:0:1:25:;10:0:1:24:;11:0:1:27:3;12:0:1:25:
00:00,hokurikubiwako,840T,普通,米原,0,安土駅,0,1:0:1:23:;2:16:1:22:3;3:14:1:23:;4:9:1:22:;5:8:1:23:;6:8:1:22:;7:15:1:23:3;8:9:1:23:
00:00,hokurikubiwako,842T,普通,米原,0,石山駅,7,1:17:1:25:;2:17:1:27:3;3:26:1:25:;4:30:1:25:;5:28:1:26:3;6:38:1:24:;7:-1:1:-1:;8:-1:1:-1:;9:-1:1:-1:;10:-1:1:-1:
00:00,hokurikubiwako,923M,普通,京都,1,膳所駅,0,1:5:1:22:;2:6:1:22:3;3:5:1:22:;4:7:1:22:;5:4:1:23:;6:10:1:23:;7:8:1:24:3;8:7:1:23:;9:0:1:23:;10:0:1:24:3;11:2:1:24:;12:0:1:24:
00:00,hokurikubiwako,3544M,新快速,野洲,0,大津駅,0,1:-1:1:-1:;2:-1:1:-1:;3:-1:1:-1:;4:-1:1:-1:;5:-1:1:-1:;6:-1:1:-1:;7:-1:1:-1:;8:-1:1:-1:;9:15:1:24:;10:10:1:23:3;11:18:1:23:;12:16:1:23:
00:00,hokurikubiwako,844T,普通,野洲,0,山科〜京都,0,1:6:1:24:;2:4:1:25:3;3:6:1:24:;4:4:1:24:;5:24:1:24:;6:14:1:24:3;7:6:1:23:;8:18:1:22:
00:00,hokurikubiwako,250C,普通,京都,0,京都〜西大路,0,1:0:1:25:;2:0:1:26:3;3:3:1:25:;4:17:1:23:;5:0:1:22:4;6:1:1:22:3;7:18:1:23:
00:00,kyoto,3544M,新快速,野洲,0,不明(0400_0401),0,1:-1:1:-1:;2:-1:1:-1:;3:-1:1:-1:;4:-1:1:-1:;5:-1:1:-1:;6:-1:1:-1:;7:-1:1:-1:;8:-1:1:-1:;9:15:1:24:;10:10:1:23:3;11:18:1:23:;12:16:1:23:
00:00,kyoto,846T,普通,野洲,0,山崎駅,0,1:12:1:22:;2:18:1:23:3;3:12:1:23:;4:16:1:23:;5:25:1:24:;6:22:1:23:;7:24:1:24:3;8:27:1:23:
00:00,kyoto,536C,普通,高槻,0,高槻〜摂津富田,0,1:9:1:26:;2:8:1:27:3;3:18:1:25:;4:18:1:23:;5:0:1:23:4;6:0:1:23:3;7:8:1:23:
00:00,kyoto,533C,普通,大阪,1,ＪＲ総持寺駅,0,1:6:1:24:;2:7:1:25:3;3:8:1:24:;4:19:1:24:;5:9:1:26:4;6:8:1:26:3;7:14:1:24:
00:00,kyoto,254C,普通,高槻,0,茨木〜千里丘,0,1:27:1:23:;2:31:1:24:3;3:25:1:24:;4:24:1:23:;5:17:1:25:4;6:29:1:24:3;7:18:1:23:
00:00,kyoto,538C,普通,京都,0,東淀川〜新大阪,0,1:35:1:24:;2:52:1:26:3;3:47:1:24:;4:57:1:25:;5:53:1:25:4;6:62:1:26:3;7:72:1:24:
00:00,kyoto,847T,快速,大阪,1,新大阪〜大阪,0,1:4:1:24:;2:12:1:25:3;3:11:1:23:;4:12:1:23:;5:13:1:23:;6:1:1:24:3;7:6:1:23:;8:3:1:22:
00:00,kyoto,258C,普通,高槻,0,大阪駅,0,1:29:1:22:;2:12:1:21:3;3:26:1:23:;4:24:1:23:;5:0:1:21:4;6:0:1:22:3;7:16:1:23:
00:00,kyoto,3548M,新快速,京都,0,大阪駅,0,1:25:1:22:;2:5:1:23:3;3:13:1:23:;4:22:1:22:;5:15:1:22:;6:23:1:23:;7:13:1:24:3;8:32:1:22:;9:26:1:22:;10:30:1:23:3;11:21:1:22:;12:10:1:23:
00:00,kyoto,2786M,丹波路快,大阪,0,大阪〜塚本,0,1:16:1:24:;2:3:1:24:3;3:8:1:24:;4:23:1:23:
00:00,kyoto,3546M,新快速,野洲,0,島本駅,0,1:13:1:23:;2:11:1:25:3;3:17:1:22:;4:18:1:23:;5:24:1:23:;6:21:1:24:;7:21:1:25:3;8:27:1:23:;9:23:1:24:;10:15:1:26:3;11:19:1:23:;12:11:1:25:
00:00,sagano,287M,普通,園部,1,花園〜太秦,0,1:30:1:23:;2:43:1:25:;3:66:1:23:;4:73:1:23:
00:14,hokurikubiwako,840T,普通,米原,0,南彦根〜河瀬,0,1:0:1:22:;2:10:1:21:3;3:7:1:22:;4:3:1:22:;5:4:1:23:;6:4:1:22:;7:11:1:23:3;8:3:1:23:
00:14,hokurikubiwako,842T,普通,米原,0,野洲〜守山,5,1:-1:1:-1:;2:-1:1:-1:;3:-1:1:-1:;4:-1:1:-1:;5:-1:1:-1:;6:-1:1:-1:;7:17:1:25:;8:10:1:21:3;9:4:1:22:;10:9:1:23:
00:14,hokurikubiwako,3544M,新快速,野洲,0,栗東〜草津,0,1:0:1:22:;2:0:1:24:3;3:7:1:22:;4:6:1:22:;5:4:1:22:;6:7:1:22:;7:0:1:23:3;8:7:1:22:;9:4:1:24:;10:4:1:24:3;11:5:1:24:;12:4:1:23:
00:14,hokurikubiwako,844T,普通,野洲,0,瀬田駅,0,1:4:1:24:;2:4:1:25:3;3:2:1:24:;4:0:1:24:;5:7:1:24:;6:8:1:24:3;7:2:1:23:;8:10:1:22:
